model,task,source,target,pd,pf,f_measure,g_mesure,balance,MCC, AUC
LDJDA,Safe==>Apache,Safe,Apache,0.83333,0.4898,0.78125,0.63291,0.63416,0.36253,0.73097,
LDJDA,Zxing==>Apache,Zxing,Apache,0.83333,0.5,0.77973,0.625,0.62732,0.35308,0.72672,
LDJDA,Apache==>Safe,Apache,Safe,0.79412,0.36364,0.78947,0.70654,0.70452,0.43427,0.84358,
LDJDA,Zxing==>Safe,Zxing,Safe,0.76471,0.36364,0.76471,0.69466,0.69374,0.40107,0.83289,
LDJDA,Apache==>Zxing,Apache,Zxing,0.74021,0.55085,0.74445,0.55907,0.56935,0.18592,0.63559,
LDJDA,Safe==>Zxing,Safe,Zxing,0.74021,0.55085,0.74445,0.55907,0.56935,0.18592,0.63559,
